category,question,option1,option2,option3,option4,correct_answer,explanation
ステップ２教育,オーダーメイドカリキュラムを実現するための政策として、標準授業時数についてどのような変更を目指していますか？,標準授業時数を完全に撤廃する,標準授業時数を全国一律で増加させる,標準授業時数の設定を大綱化する,標準授業時数を教科ごとに細分化する,3,マニフェストでは、一人ひとりの個性にあわせたカリキュラムを実現するため、標準授業時数の設定を大綱化することを目指すとしています。
ステップ２教育,学習指導要領の改定に関して提案されている「マイナーアップデート」は、主にどのように実施される予定ですか？,学習指導要領本体を毎年全面的に改訂する,学習指導要領の「解説」を充実させることで対応する,各学校が独自に学習指導要領を改訂できるようにする,海外の教育事例をそのまま導入する,2,マニフェストでは、マイナーアップデートは学習指導要領本体ではなく、学習指導要領の「解説」を充実させることで対応すると提案しています。
ステップ２教育,マニフェストで紹介されている「デジタル併願制」の基礎となっているアルゴリズムは何ですか？,ランダムフォレストアルゴリズム,遺伝的アルゴリズム,DAアルゴリズム (Deferred Acceptance Algorithm),k近傍法アルゴリズム,3,マニフェストでは、デジタル併願性はゲーム理論におけるDAアルゴリズム (Deferred Acceptance Algorithm)が基礎になっていると説明されています。
ステップ２教育,教育データの利活用を進め、EBPM（証拠に基づく政策立案）を推進するために創設が提案されている組織は何ですか？,教育改革推進委員会,全国統一学力テストセンター,Education Data Trust,デジタル教育省,3,マニフェストでは、匿名加工データを信託管理する「Education Data Trust」の創設など、EBPMの基盤整備が必要であると述べています。
ステップ２教育,現在の学習指導要領の改定頻度について、マニフェストが指摘している課題は何ですか？,改定頻度が高すぎて現場が混乱している,改定内容が専門的すぎて理解が難しい,10年に1度程度の改定では世の中の変化についていけない,改定プロセスが不透明である,3,マニフェストでは、学習指導要領は10年に1度程度のスパンで改定しているが、それでは世の中の変化についていけないほど変化の速度が高まっていると指摘しています。
ステップ２教育,マニフェストで日本の標準授業時数の制度と比較して、最も柔軟な制度を持つ国として挙げられているのはどこですか？,韓国,イギリス,カナダ,オランダ,4,マニフェストでは、オランダは総学習時間だけが決まっており、何を何時間学ぶかは学校・子どもに合わせて決められる、最も制度が柔軟な国として紹介されています。
ステップ２行政改革,「なめらかな税・社会保障」の政策で、所得控除や給付額などを自動的に見直す際に連動させる主要な指標は何ですか？,国債金利、株価指数,CPI（消費者物価指数）、平均賃金指数,GDP成長率、失業率,為替レート、原油価格,2,年金制度と同様に、CPI・平均賃金指数に連動して各種金額（控除額・給付額・保険料率）を自動スライドさせることが提案されています。
ステップ２行政改革,「なめらかな税・社会保障」が目指す「滑らかな課税・給付」を実現するための設計方法として、どのようなものが挙げられていますか？,段階的な税率区分をさらに細かく設定する,所得控除・給付・保険料率をロジスティック曲線等の連続関数で設計する,全ての所得層に対して一律の税率を適用する,毎年度の国会審議を通じて税率や給付額を決定する,2,所得控除・給付・保険料率をロジスティック曲線等の連続関数で設計し、制度境界による急変（崖）を排除し、合理的かつ予測可能な制度設計の実現を目指しています。
ステップ２行政改革,公共調達において、税金で開発・導入するソフトウェアについて、このマニフェストが原則としていることは何ですか？,国内の大手IT企業に優先的に発注し、国内産業を保護する,オープンソースソフトウェア（OSS）とし、ソースコード・ドキュメントを公開する,海外の先進的な商用ソフトウェアを積極的に導入し、国際競争力を高める,各省庁が独自に最適なソフトウェアを選定し、多様性を確保する,2,「公共調達 OSS・オープン化原則」を制定し、税金で開発・導入するソフトウェアはOSSを原則とし、ソースコード・ドキュメントを公開することが提案されています。例外領域も最小範囲で非公開とし、国会報告で透明性を確保します。
ステップ２行政改革,ベンダーロックインを防ぎ、オープンな公共調達を推進するための調達プロセスの転換として、どのような方式への移行が提案されていますか？,従来通りの仕様書比較とプレゼンテーションをより厳格に行う方式,入札価格の低さを最重視し、コスト削減を徹底する方式,一定要件の動作するプロトタイプを提出させる「実働コード競争入札」方式,特定の信頼できるベンダーとの長期的なパートナーシップを推奨する方式,3,調達プロセスを従来の「仕様書比較＋プレゼン」から、一定要件の動作するプロトタイプを提出する「実働コード競争入札」方式へ改めることが提案されています。
ステップ２行政改革,アジャイルガバナンスを推進する上で、旧来型のPDCAサイクルに加え、特に重視されている考え方は次のうちどれですか？,一度決定した政策は変更せず、計画通りに最後まで実行する「計画重視型」,失敗を完全に排除し、完璧な制度設計を目指す「無謬性追求型」,環境変化に対応し、失敗を許容しデータに基づき高速に学習する「適応・学習型」,専門家委員会によるトップダウンの意思決定を強化する「権威依存型」,3,失敗を許容し、データに基づき高速に学習する政策サイクル（サンドボックス＋error budget的思考、二重のサイクル、ダイナミックなEBPM）の導入が提案されており、環境変化への適応と継続的な学習を重視しています。
ステップ２行政改革,行政情報の公開と利活用について、このマニフェストが目指す方向性として最も適切なものはどれですか？,情報公開の量を制限し、質の高い情報のみを選別して提供する,全ての行政文書をPDF形式で統一して公開し、改ざんリスクを低減する,API経由での情報提供を標準化し、機械判読性を高め、AI等での再利用を促進する,情報公開請求を有料化し、行政側のコスト負担を軽減する,3,情報公開をAPI経由で実施できるようにし、APIの標準化・一次公開の義務付けを進めることで、機械判読性を高め、AIでも活用可能な形での情報提供を目指しています。
ステップ２行政改革,複雑化した既存の行政制度（「スパゲティコード化した行政システム」）を分析し、わかりやすく使いやすい仕組みへ変更するために、このマニフェストが活用を提案している主要な技術は何ですか？,ブロックチェーン技術を用いた分散型台帳システム,量子コンピューティングによる超高速シミュレーション,大規模言語モデル（LLM）などの自然言語処理技術やプロセスマイニング,仮想現実（VR）や拡張現実（AR）を用いた制度の可視化,3,大規模言語モデル（LLM）などの自然言語処理技術をはじめとしたテクノロジーを活用し、既存制度の構造・手続き・フローを体系的に可視化・分析し、プロセスマイニングと制度マッピングを行うことが提案されています。
ステップ２行政改革,電子投票・ネット投票の推進について、このマニフェストが提案する最初の具体的な導入ステップは何ですか？,次回の国政選挙から全国一斉に電子投票システムを導入する,まずは党内における代表選挙や重要な意思決定プロセスに先行導入する,全ての地方自治体に対して、条例による電子投票の導入を義務付ける,海外で成功している電子投票システムをそのまま日本市場に導入する,2,まずは党内における意思決定に導入（スモールスタート）し、その結果と課題を公開して社会的合意形成の材料とすることを目指しています。
ステップ２経済財政,このマニフェストが目指す経済財政運営の前提となる考え方はどれですか？,過去の成功事例に基づいた安定的な成長,特定の産業への集中的な投資による急成長,不確実性を前提とした柔軟な対応,国際機関の予測に完全に準拠した運営,3,ビジョンに「不確実性､すなわち｢起きるかどうかわからない｣｢いつ起きるかわからない｣｢インパクトがどの程度かわからない｣といった事象を前提とした経済財政運営を目指します｣と記載されています。
ステップ２経済財政,経済財政運営においてシナリオプランニングを強化する主な目的は何ですか？,将来の経済動向を正確に予測するため,非連続的な変化に備えるため,短期的な経済指標の改善を図るため,特定の経済モデルの正当性を証明するため,2,政策概要に「経済財政運営における｢シナリオプランニング｣を強化し､非連続的な変化に備えます｡」と記載されています。
ステップ２経済財政,チームみらいが経済財政運営で採用するシナリオプランニングにおいて、特に重視していない点は次のうちどれですか？,AGI（汎用人工知能）のような非線形な変化を考慮すること,現状の追認や願望に基づいた楽観的なシナリオを優先すること,複合的なリスクが加速する要素を正しく認識すること,"議論が避けられがちな重要課題（""Elephant in the room""）にも目を向けること",2,チームみらいにおけるシナリオ・プランニングのポイントとして「②現状の追認や願望ではなく､悲観的な要素に強く眼を向ける」とあり、楽観的なシナリオを優先するわけではありません。
ステップ２経済財政,「2030年、AGI実現による生産性大幅向上シナリオ」において、経済成長が実現される一方で、どのような社会問題が懸念されていますか？,全ての労働者の賃金が均等に上昇すること,技術進化に対する社会全体の受容性が高まること,所得格差の拡大や失業率の上昇,税収が大幅に減少し、財政が悪化すること,3,AGIシナリオでは「その果実は一部の層に偏る」「失業率は大幅に上昇する」「所得格差の拡大や失業率上昇は､社会不安や政治的対立を生む」とされています。
ステップ２経済財政,AGI実現による所得格差拡大に対応するため、事前に土台を整えておくべき政策として挙げられているものは何ですか？,富裕層への大幅な減税,AI技術の研究開発の全面的な中止,ユニバーサル・ベーシックインカムや給付付き税額控除,労働時間の抜本的な短縮義務化,3,AGIシナリオの政策対応として「ユニバーサル･ベーシックインカムや給付付き税額控除等､広汎なセーフティネットを導入できる土台はAGI実現前に整えておく」と記載されています。
ステップ２経済財政,予測困難な経済危機に対応し、国民や中小企業へ迅速な給付を行うために、まず推進すべきとされているものは何ですか？,新たな給付専用のデジタル通貨の発行,全国民への現金の直接郵送システムの構築,マイナンバーカードの公金受取口座登録制度の普及,地方自治体ごとの独自の給付システムの開発支援,3,政策概要に「まずはマイナンバーカードの公金受取口座登録制度の普及を進め､デジタルを活用した給付手続の簡便化･迅速化を図ります｡」と記載されています。
ステップ２経済財政,将来的に検討が進められる、危機に対応した税制に関する対応可能性として挙げられているものは何ですか？,恒久的な消費税率の引き上げ,時限的・迅速な税率引き下げを可能にする仕組み,全ての税目を廃止し、単一税に移行する仕組み,企業への法人税を大幅に引き上げる仕組み,2,政策概要に「将来的には､危機に対応した時限的･迅速な税率引き下げを可能にする仕組みなど､税制に関する対応可能性の検討も進めます｡」と記載されています。
ステップ２医療,このマニフェストが掲げる医療制度のビジョンとして、最も適切なものはどれですか？,国民皆保険制度を廃止し、自由診療を中心とした制度へ移行する。,医療費を大幅に削減するため、医療へのアクセスを制限する。,テクノロジーとデータを活用し、非効率を減らし費用対効果の高い医療が報われる制度を目指す。,高齢者の医療費自己負担を一律に引き上げることで、現役世代の負担を軽減する。,3,マニフェストでは、テクノロジーとデータを活用して医療の非効率を減らし、費用対効果の高い医療が報われる制度を目指すとしています。
ステップ２医療,現状の医療保険制度における自己負担割合の決定要因として、文書で指摘されている主なものは何ですか？,受ける医療の内容と重症度,年齢と所得,居住地域と家族構成,加入している保険組合の種類,2,文書では「主に年齢と所得により個々の自己負担割合が決定され、受ける医療の内容や重症度に応じた調整は行われていません」と指摘されています。
ステップ２医療,OECDの報告によると、国際的に医療費のおよそ何割が健康成果に直結していない可能性があるとされていますか？,約1割,約2割,約3割,約5割,2,文書には「OECDの報告では国際的に医療費のおよそ２割が健康成果に直結していない可能性を示しており」と記載されています。
ステップ２医療,政策として提案されている、診療行為のエビデンスや費用対効果に基づく自己負担割合の調整は、どのような目的で行われますか？,医療機関の収益を最大化するため。,患者の医療選択の自由を制限するため。,医療の質と家計への負担を維持しつつ、医療財政への負担を軽減するため。,最新医療技術の導入を抑制するため。,3,文書では「これらの仕組みにより、医療の質、家計への負担を維持したまま、医療財政への負担軽減を目指します」と述べられています。
ステップ２医療,フランスで導入されている医薬品の自己負担割合設定の仕組みについて、正しい記述はどれですか？,全ての医薬品で自己負担割合が一律に設定されている。,医薬品の有効性評価に基づき、自己負担割合が段階的に設定され、抗がん剤など代替の効かない薬は0%になる場合がある。,評価が不十分な医薬品は、国が全額負担する。,医薬品の価格のみに基づいて自己負担割合が決定される。,2,フランスの事例として、医薬品の有効性評価に基づき自己負担割合が段階的に設定され、抗がん剤など代替の効かない医薬品は自己負担0%となることが紹介されています。
ステップ２医療,日本の医療費の約3割を占めるとされる慢性疾患として、文書で例示されていないものはどれですか？,糖尿病,COPD（慢性閉塞性肺疾患）,心不全,関節リウマチ,4,文書では、糖尿病・COPD・心不全などが慢性疾患の例として挙げられています。関節リウマチは明記されていません。
ステップ２医療,提案されている「治療成果に報いる医療アウトカム評価制度」の主な目的は何ですか？,診療回数を増やすことで医療機関の収益を向上させること。,「どれだけ診療が行われたか」だけでなく、「どれだけ良くなったか」にも報いる医療制度へ転換すること。,患者の自己負担額を大幅に引き上げること。,医師の診断の自由度を制限すること。,2,この制度は、「どれだけ診療が行われたか」だけでなく、「どれだけ良くなったか」にも報いる医療制度への転換を目指しています。
ステップ２医療,医療アウトカム評価制度の導入にあたり、診療データの管理・活用について、どのような方針が示されていますか？,各医療機関が個別にデータを管理し、必要に応じて共有する。,診療データを匿名化し、全国医療データベース（NDB）で一元管理し、AIを活用して評価する。,患者自身が全ての診療データを管理し、医療機関に提供する。,紙ベースのカルテを維持し、手作業で評価を行う。,2,診療データを匿名化し、NDBで一元管理し、AIを活用した公平で迅速な評価を行う仕組みを整える方針が示されています。
ステップ３「長期の成長に大胆に投資する」,このマニフェストが持続的な経済成長を不可欠と考える主な理由は何ですか？,国際社会における日本の影響力を高めるため,富の再分配をより公平に行うため,豊かな国民生活と安定した社会保障制度を支えるため,最新テクノロジーの導入を加速するため,3,文書では、持続的な経済成長が「豊かな国民生活と安定した社会保障制度を支えるための確固たる基盤となる」と述べられています。
ステップ３「長期の成長に大胆に投資する」,経済成長を達成するための最も重要な鍵として、このマニフェストは何を挙げていますか？,伝統産業の保護と育成,大規模な公共事業の実施,日進月歩で進化するテクノロジーの最大限の活用,国際貿易の自由化推進,3,文書では、「この経済成長を達成するための最も重要な鍵が、日進月歩で進化するテクノロジーの力を最大限に活用することだと考えます」と明記されています。
ステップ３「長期の成長に大胆に投資する」,AIの急速な発展がもたらす社会経済の不確実性に対し、このマニフェストはどのような認識を示していますか？,厳格な規制によってリスクを管理すべき課題,日本の伝統的産業を脅かす最大の脅威,日本が新たな成長の波を掴む絶好の機会,一時的な流行であり、長期的な影響は限定的,3,文書は、AIの発展を「我が国が新たな成長の波を掴む絶好の機会であると前向きに認識し、積極的にその変化を主導していく気概が求められています」と述べています。
ステップ３「長期の成長に大胆に投資する」,「子育て」の項目で挙げられている支援策のうち、経済的支援に直接関連するものはどれですか？,保育士の人手不足解消への取り組み,妊娠出産の負担の徹底軽減,抜本的な経済支援としての児童手当・税制見直し,住まいの安心の提供,3,「子育て」の項目には「抜本的な経済支援としての児童手当・税制見直しを検討します」と記載されており、これが直接的な経済支援に該当します。
ステップ３「長期の成長に大胆に投資する」,「教育」分野における投資の重点として、特に強調されているものは何ですか？,伝統文化教育の推進,EdTechの開発と学校への導入,教員数の大幅な増員,全国統一学力テストの実施強化,2,文書では「EdTechの開発と学校への導入に大胆に投資します」と述べられており、これが教育分野での投資の重点です。
ステップ３「長期の成長に大胆に投資する」,「科学技術」分野において、研究者が研究に集中できる理想的な環境を実現するために、どのような研究資金制度の拡充を目指していますか？,短期的な成果を重視する競争的資金制度,特定の国家戦略分野に限定した資金配分,高自由度で長期型の研究資金制度,企業との共同研究を義務付ける資金制度,3,「科学技術」の項目には「高自由度で長期型の研究資金制度を拡充し研究者が研究に集中できる理想的環境を実現します」とあります。
ステップ３「長期の成長に大胆に投資する」,「産業」分野において、産業の成長を何に還元することで、どのような好循環を生み出すことを目指していますか？,企業の内部留保を増やし、さらなる投資を促す,生活の質向上と経済成長の好循環,税収を増やし、財政赤字を削減する,輸出競争力を高め、貿易黒字を拡大する,2,文書では「産業の成長を還元することで、生活の質向上と経済成長の好循環を生み出します」と述べられています。
ステップ３「長期の成長に大胆に投資する」,「経済財政」の項目において、歳出削減や税収増の果実は、主に何に重点的に配分するとされていますか？,公共事業への投資拡大,国債の償還,社会保険料をはじめとする現役世代の負担軽減,防衛費の増額,3,「経済財政」の項目には「歳出削減･税収増の果実は､社会保険料をはじめとする現役世代の負担軽減に重点的に配分します」と記載されています。
ステップ３子育て,このマニフェストが子育て支援において目指す社会の姿として、最も適切なものはどれですか？,テクノロジー活用により、全ての人に質の高いサポートが行き届く社会,伝統的な家族形態を推奨し、少子化を食い止める社会,経済成長を最優先し、その恩恵を子育て世代に還元する社会,都市部への人口集中を促し、子育てインフラを効率化する社会,1,マニフェストでは「テクノロジーを最大限に活用し、大胆かつ適切な投資を行うことで、結婚、妊娠、出産、子育てにおけるあらゆる情報格差や機会の不平等を解消し、支援を必要とする全ての人々に、きめ細やかで質の高いサポートが行き届く社会を目指します」と述べられています。
ステップ３子育て,結婚の障壁を取り除くための経済的支援策として、検討されていないものはどれですか？,結婚新生活支援事業補助金の所得制限緩和または撤廃,結婚・子育て資金の一括贈与に係る贈与税非課税措置の恒久化,結婚するカップルへの一律100万円の給付金制度創設,結婚・子育て資金の一括贈与に係る贈与税非課税措置の非課税枠拡大,3,マニフェストには「結婚新生活支援事業補助金」の所得制限緩和・撤廃や助成金額引き上げ、贈与税非課税措置の恒久化・非課税枠拡大が検討事項として挙げられていますが、一律100万円の給付金制度創設は記載されていません。
ステップ３子育て,流産・死産経験者への包括的ケアとして、マニフェストで提案されている支援策はどれですか？,経験者全員への一律慰謝料の支払い,専門家によるグリーフカウンセリングや心理的サポートへの公費助成・医療保険適用拡大,流産・死産を経験した場合の強制的な休職制度の導入,海外での代理出産費用の全額助成,2,マニフェストでは「流産や死産を経験した方が、専門家によるグリーフカウンセリングや心理的サポートを経済的心配なく受けられるよう、公費助成や医療保険の適用拡大を検討します」と記載されています。
ステップ３子育て,分娩費用の実質自己負担ゼロ化を目指すにあたり、基本となる方針は何ですか？,出産一時金の増額のみで対応する,分娩費用を医療保険の適用対象とし、自己負担分を公費助成する,全ての産院を国営化し、費用を無料にする,妊婦税を導入し、その財源で分娩費用を賄う,2,マニフェストでは「分娩費用は医療保険の適用対象とすることを基本とし、さらに自己負担分についても公費による助成を行うことで、標準的な出産費用の実質的な自己負担ゼロを目指します」と述べられています。
ステップ３子育て,子育て世帯公営住宅の拡大支援において、国が自治体による推進を促すために行うことは何ですか？,公営住宅の家賃を全国一律にする,子育てしやすい環境整備のガイドライン提示と、条件を満たしたものへの追加補助金提供,全ての公営住宅を子育て世帯専用にする,民間賃貸住宅の家賃上限を国が設定する,2,マニフェストでは「子育てしやすい環境を建物周辺含め整備するよう国がガイドラインを提示し、一定の条件を満たしたものには追加での補助金を提供するなどして自治体による推進を促します」と記載されています。
ステップ３子育て,新たに制定を目指す「産前準備休暇」の目的として、マニフェストに記載されていないものはどれですか？,妊婦健診の受診・付き添い,パートナーとともに赤ちゃんを迎える心の準備,出産後のキャリアアップのための研修受講,臨月のパートナーの生活サポート,3,「産前準備休暇」の目的として、妊婦健診の受診・付き添い、臨月のパートナーの生活サポート、赤ちゃんの受け入れ準備、上の子の育児、パートナーと共に赤ちゃんを迎える心の準備などが挙げられていますが、出産後のキャリアアップ研修は含まれていません。
ステップ３子育て,保育DXの推進策として、マニフェストで具体的に挙げられているAI活用例は何ですか？,AIによる園児の健康状態の自動診断,AIによる保護者からのクレーム自動対応,AIによる保育記録の自動まとめ（音声入力からの文書化）,AIによる園児の才能予測と個別教育プラン作成,3,マニフェストでは保育DXの例として「例えば保育記録は音声で都度入力しておくと1日の終わりに自動でAIがまとめてくれるなど、保育士の皆様の書類作成業務や事務作業の負担を大幅に軽減します」と記載されています。
ステップ３子育て,障がいのあるお子さんとその家族を支援する「ファミリーサポートハブ（仮称）」の機能として、マニフェストに記載されているものはどれですか？,保護者の代わりに育児を行うAIロボットの派遣手配,障がいのある子ども専用のSNSプラットフォームの提供,支援サービス・手当等の情報一元管理とオンライン申請機能,障がいのある子どもの将来の職業をAIが予測し斡旋する機能,3,「ファミリーサポートハブ（仮称）」は、支援サービス・手当・助成金・施設に関する情報の一元管理、各種手続きのオンライン完結、関係機関間の情報共有、AIによるリソースのプッシュ型提案などを機能としています。
ステップ３教育,このマニフェストが、国家の100年先を見据えた成長において最も重要と考える投資対象は何ですか？,最新技術の開発,インフラ整備,「人」への投資,海外市場の開拓,3,マニフェストは「最も重要なのは『人』に投資することです」と明記しています。
ステップ３教育,AI時代において、子どもたちに育むべき最も重要な力としてマニフェストが挙げているものは何ですか？,プログラミングスキル,「好奇心」と新しいことを「はじめる力」,高度なデータ分析能力,外国語でのコミュニケーション能力,2,マニフェストでは「AI時代、子どもたちに育むべきは『好奇心』であり、新しいことを『はじめる力』です」と述べられています。
ステップ３教育,日本の教育費に関する現状認識として、マニフェストが指摘している点は何ですか？,対GDP費で諸外国より高い水準にある,対GDP費で諸外国より低い水準にある,子どもの数比で見ると先進国より大幅に低い,教育費の乗数効果は低いと分析されている,2,マニフェストは「国家が投入する教育費は、対GDP費だと諸外国より低い」と指摘しています。
ステップ３教育,GIGAスクール構想で整備された１人１台端末について、マニフェストが指摘する主な課題は何ですか？,端末の数が不足している,ソフトウェアのライセンス費用が高い,端末のスペックが不足している,教員が端末を使いこなせていない,3,マニフェストは「全国で１人１台端末は整備されたがスペックが不足している」と指摘し、特に推奨帯域を満たす学校が少ないことを挙げています。
ステップ３教育,国産の質の良いEdTech開発を促進するため、マニフェストが提案している具体的な政策は何ですか？,EdTech企業への減税措置,500億円規模のEdTechスタートアップへの政府ファンド新設,全ての学校にEdTech専門家を配置,海外製EdTechの導入禁止,2,マニフェストは「500億円規模のEdTechスタートアップへの政府ファンドを新設して投資する」と提案しています。
ステップ３教育,子どもたちの体験格差を是正するために、マニフェストが提案している具体的な施策は何ですか？,全ての校外学習を無料化する,年間1万円分のフィールド／インターン体験クレジットを全児童生徒に支給する,学校に最新の体験型遊具を設置する,保護者向けの体験プログラム参加を義務化する,2,マニフェストは「体験格差是正バウチャーの配布」として「年間１万円分のフィールド／インターン体験クレジットを全児童生徒に支給」することを提案しています。
ステップ３教育,子どもたちのアントレプレナーシップに関する課題として、マニフェストが指摘していないものはどれですか？,社会を変えられると思う子どもが極めて少ない,起業に関心を持つ若年層が少ない,失敗を極端に嫌う傾向がある,他者と協力する能力が低い,4,マニフェストでは安定志向、失敗嫌い、社会変革意識の低さ、起業関心の低さを指摘していますが、協調性の低さについては直接言及していません。
ステップ３科学技術,マニフェストが掲げる「知のエコシステム」を形成するための３つの柱に含まれないものはどれか？,卓越した人材の育成と柔軟な人材流動性の確保,オープンで自由な研究環境の整備,グローバルから研究者・起業家を呼び込む魅力ある生活・研究環境の提供,短期的な成果を重視した研究資金の配分,4,「知のエコシステム」の柱は、人材育成と流動性、オープンな研究環境、魅力ある生活・研究環境の提供です。短期成果重視はむしろ課題として認識されています。
ステップ３科学技術,新たに創設される「高自由度・長期型研究資金制度」の採択期間は最大で何年か？,3年,5年,7年,10年,3,挑戦的・基礎的研究の推進に向けた高自由度・長期型研究資金制度の採択期間は最大7年とされています。
ステップ３科学技術,研究成果の社会実装やイノベーション創出を加速するために提案されている、産学官の垣根を越えた人材流動性を高めるための制度はどれか？,短期集中型研究プロジェクト,研究成果発表会への参加義務化,キャリアリターン制度や人材シェアリング制度,年功序列に基づく昇進制度,3,産学官の垣根を越えた人材流動性を高めるため、「キャリアリターン制度」や「人材シェアリング制度」の構築が提案されています。
ステップ３科学技術,ディープテック領域におけるスタートアップ創出の課題として、民間VCが投資を敬遠する理由として挙げられていないものはどれか？,製品化・収益化までに長期間を要する,規制や製造・実証などの技術リスクが高い,投資回収の見える化が困難,研究開発テーマが魅力的すぎる,4,民間VCがディープテック投資を敬遠する理由には、製品化までの期間、技術リスク、投資回収の困難さなどがあり、テーマが魅力的すぎることは理由として挙げられていません。
ステップ３科学技術,国家戦略技術分野として重点的な資本投下が検討されている技術例に含まれないものはどれか？,ロボティクス,伝統工芸技術,マテリアル,宇宙（衛星コンステレーション）,2,国家戦略技術分野の例として、ロボティクス、レーザー、マテリアル、再生医療／バイオ、宇宙、サイバーセキュリティなどが挙げられていますが、伝統工芸技術は明記されていません。
ステップ３科学技術,マニフェストで指摘されている、研究者が研究に集中しづらい現状の課題として正しいものはどれか？,研究資金が潤沢にありすぎて使い道に困る,多くの研究資金が長期的な基礎研究に偏っている,外部資金への依存が低く、自由に使える研究費が多い,多くの研究資金が短期成果に基づく配分となっており、基礎研究がしづらい,4,現状の課題として、多くの研究資金が短期成果に基づく配分であり基礎研究がしづらいこと、外部資金への依存が高いこと、自由に使える研究費が少ないことなどが挙げられています。
ステップ３科学技術,日本の博士課程進学率に関する現状認識として、マニフェストで述べられている内容はどれか？,OECD諸国の中で最高レベルである,OECD諸国の中で平均レベルである,OECD諸国の中でも最低レベルである,近年急速に上昇している,3,マニフェストでは、日本の博士課程進学率はOECD諸国の中でも最低レベルであると指摘されています。
ステップ３科学技術,ディープテック特化型の公的ファンドの出資枠を拡大する主な目的として、マニフェストで述べられているのはどれか？,海外企業の買収を促進するため,既存の大企業への研究開発支援を強化するため,リスクマネーの流通と成長資金の確保のため,研究者の海外流出を防ぐための奨学金制度を充実させるため,3,ディープテック特化型の公的ファンドの出資枠拡大は、リスクマネーの流通と成長資金の確保を目的としています。
ステップ３エネルギー,AIの本格的な普及に伴い、2030年までに見込まれる追加電力需要はどの程度と予測されていますか？,日本全体の年間消費電力の約10%,世界全体で日本の年間総発電量の半分程度,世界全体で日本一国分に相当する量,主要先進国の電力需要の合計程度,3,文書の「ビジョン」には、「2030 年までの短期間でも世界全体で日本一国分に相当する追加電力が必要になると見込まれます」と記載されています。
ステップ３エネルギー,日本のエネルギー供給における課題として、文書で指摘されていないものはどれですか？,化石燃料資源が乏しいこと,再生可能エネルギー導入に適した平野部が限られていること,原子力発電技術が国際標準に比べて遅れていること,燃料輸入による国富の海外流出リスク,3,文書では化石燃料の乏しさ、再エネ導入の地理的制約、燃料輸入による国富流出を指摘していますが、原子力発電技術が国際標準に比べて遅れているとは具体的に述べていません。むしろ再稼働や次世代炉開発に言及しています。
ステップ３エネルギー,2023年の日本の電源構成実績について、第6次エネルギー基本計画の2030年目標と比較して、割合が目標よりも高かった電源の組み合わせはどれですか？,原子力と水力,LNG（液化天然ガス）と石炭,その他再エネと原子力,水力とその他再エネ,2,文書によると、2023年実績はLNG 32％（目標20％）、石炭 29％（目標19％）であり、これらは2030年目標よりも高い割合でした。
ステップ３エネルギー,再生可能エネルギーの大幅な増加における課題として、文書で特に懸念されている国民への直接的な影響は何ですか？,設置場所周辺の地価下落,再エネ賦課金による経済的負担の増加,電力品質の低下による家電製品への影響,関連産業における雇用機会の不安定化,2,文書では「再エネ賦課金による国民負担は、2024年度見込みで2.7兆円に達しています。追加的な再エネ導入は国民負担の増加に繋がります」と指摘しています。
ステップ３エネルギー,日本の太陽光発電の導入状況について、文書ではどのように評価されていますか？,導入が世界的に遅れており、さらなる大規模導入の余地が大きい,国土面積当たりの導入量は世界平均程度だが、コストが高い,国土面積当たりの導入量は既に世界上位水準にあり、大幅な追加余地は限定的,主に山間部での大規模開発が進んでいるが、環境への影響が懸念される,3,文書には「太陽光の導入量は国土面積当たりで既に世界上位水準（ドイツと同程度）にあるため、大幅な追加余地は住宅や建物屋根などに限られます」と記載されています。
ステップ３エネルギー,政策概要において、2030年に向けた原子力発電の目標として掲げられている運転基数は何基以上ですか？,15基以上,20基以上,25基以上,30基以上,3,政策概要には「2030 年時点で 25 基以上の運転を実現できるよう、手続きの迅速化と地域支援を両立させます」と記載されています。
ステップ３エネルギー,水力発電のポテンシャルを開放するための政策として、文書で提案されている具体的な方策は何ですか？,全国での新規大規模ダムの建設を最優先する,1957年制定の多目的ダム法を見直し、既存ダムの再開発や揚水増強を推進する,水力発電関連の規制を全て撤廃し、自由競争を促す,海外の先進的な小水力発電技術を全面的に導入する,2,政策概要では「多目的ダム法を見直し、水力発電のポテンシャルを開放します。既存ダムの再開発や揚水増強を推進し」と述べられています。
ステップ３エネルギー,2050年ゼロエミッション社会の実現に向けて、長期的なエネルギー問題の抜本的解決に備えるとして、特に研究開発投資が強化されるとされている革新技術は何ですか？,超々臨界圧石炭火力発電技術,アンモニア混焼・専焼技術,核融合技術,CCS（二酸化炭素回収・貯留）技術の高度化,3,政策概要の「2）2050 年ゼロエミッション社会に向けて」の中で、「核融合技術の研究開発投資を強化し、長期的なエネルギー問題の抜本的解決に備えます」と明記されています。
ステップ３経済財政,チームみらいが経済財政で目指すビジョンとして、歳出削減・税収増の果実を重点的に配分する対象は誰ですか？,高齢者,企業,現役世代,地方自治体,3,ビジョンには「歳出削減･税収増の果実は､社会保険料をはじめとする現役世代の負担軽減に重点的に配分します」と明記されています。
